"Pathway","NES","P_value","FDR","Direction","Genes_tested","Leading_edge_genes"
"Amyotrophic lateral sclerosis",1.7796281674664,2.12820899545934e-06,6.77681951144806e-05,"Up",265,"ACTB;NDUFAB1;TUBA4A;ACTG1;COX7A2L;ADRM1;OPTN;ATP5F1B;COX5A;NDUFA6;VDAC1;TOMM40;UQCRH;ALYREF;PSMB1;COX4I1;GPX7;COX6C;NXT1;COX6A1;NDUFB7;ATP5F1E;TUBA1C;NDUFC2;NDUFV2;RAC1;NDUFA12;MAP2K3;CHMP2B;COX7A2;WDR41;DERL1;COX7B;ATP5PF;NDUFB9;PSMB3;TUBB2A;BAX;HNRNPA1;UQCRB;BID;CYC1;PSMA7;SRSF3;PSMD12;ATP5F1C;UQCR11;COX8A;PPP3R1;KIF5B;PSMD7;PSMB7;ATP5PB;NUP153;ATP5F1A;NDUFA2;RAB8A;NDUFB11;CASP1;TANK;RAB5A;NDUFA9;PSMD8;NDUFB2;PSMC3;NDUFS4;NDUFS3;UBQLN4;SOD1;PSMC4;TNFRSF1B;NDUFA1;SDHB;NRBF2;MAP1LC3B;ATP5MC3;ANXA11;PSMC5;UQCR10;SEM1;PSMA4;XBP1;UQCRHL;BECN1;ATP5MC1;ATP5MC2;COX6B1;NDUFB4;NUP35;SRSF7;PSMC1;ATG101;TUBA1B;NDC1;NDUFS5;ATF4;PSMD6;COX7C;PSMA3;COX5B;ULK2;NDUFB3;BCL2;UQCRFS1;NDUFA7;NDUFS6;ATP5PD;NDUFB6;UQCRQ;RAE1;NDUFA11;NUP155;ANXA7;NUP58;SEH1L;PSMB2;VAPB;NDUFS7;HNRNPA3;NUP37;ATP5PO;CYCS;UQCRC2;DDIT3;PSMD3;DCTN3"
"Diabetic cardiomyopathy",1.92369994069078,2.30373467811266e-06,6.77681951144806e-05,"Up",142,"NCF1;TGFB1;NDUFAB1;COX7A2L;ATP5F1B;COX5A;NDUFA6;CYBA;VDAC1;RELA;UQCRH;COX4I1;PRKCA;COX6C;COX6A1;NDUFB7;ATP5F1E;NDUFC2;NDUFV2;RAC1;NDUFA12;COX7A2;SLC25A5;COX7B;ATP5PF;NDUFB9;GAPDH;UQCRB;CYC1;PPP1CC;VDAC2;ATP5F1C;UQCR11;COX8A;SLC25A6;ATP5PB;MPC2;ATP5F1A;NDUFA2;NDUFB11;NDUFA9;AGER;ATP2A2;NDUFB2;NDUFS4;NDUFS3;NFKB1;PIK3R3;NDUFA1;SDHB;ATP5MC3;MAPK9;UQCR10;CPT2;UQCRHL;MPC1;ATP5MC1;ATP5MC2;COX6B1;NDUFB4;RAC2;CAMK2D;CTSD;NDUFS5;COX7C;COX5B;NDUFB3;PDK2;PLCB4;UQCRFS1;NDUFA7;PPP1CB;NDUFS6;ATP5PD;NDUFB6;UQCRQ"
"Alzheimer disease",1.74575692402636,4.06191522389069e-06,0.000110296621079493,"Up",260,"CALM1;NDUFAB1;TUBA4A;SLC39A4;COX7A2L;ADRM1;ATP5F1B;COX5A;NDUFA6;VDAC1;RELA;UQCRH;PSMB1;COX4I1;APH1A;FRAT2;COX6C;COX6A1;NDUFB7;ATP5F1E;TUBA1C;NDUFC2;NDUFV2;NDUFA12;COX7A2;SLC25A5;COX7B;ATP5PF;NDUFB9;PSMB3;TUBB2A;GAPDH;UQCRB;IL1B;BID;CYC1;PSMA7;PSMD12;VDAC2;ATP5F1C;UQCR11;COX8A;SLC39A3;PPP3R1;KIF5B;CALM3;PSMD7;PSMB7;SLC25A6;ATP5PB;MAP2K1;ATP5F1A;NDUFA2;NDUFB11;NDUFA9;PSMD8;AGER;ATP2A2;NDUFB2;PSMC3;NDUFS4;CAPN2;NDUFS3;FAS;NFKB1;PSMC4;PIK3R3;NDUFA1;SDHB;NRBF2;ATP5MC3;MAPK9;SLC39A13;PSMC5;UQCR10;SEM1;FZD6;PSMA4;XBP1;UQCRHL;BECN1;ATP5MC1;ATP5MC2;COX6B1;AXIN1;NDUFB4;SLC39A8;CSNK2B;IRS2;KRAS;CHUK;PSMC1;ATG101;TUBA1B;NDUFS5;ATF4;PSMD6;CSNK2A1;COX7C;NAE1;PSMA3;CASP7;COX5B;ULK2;NDUFB3;PLCB4;UQCRFS1;NRAS;NDUFA7;NDUFS6;ATP5PD;NDUFB6;UQCRQ"
"Epstein-Barr virus infection",1.838595344053,1.23732093137503e-05,0.00031198163483956,"Up",150,"RUNX3;GADD45B;MYC;CD58;TAP1;CD44;TAP2;HLA-C;ADRM1;B2M;HLA-B;CD247;RIPK1;STAT3;RELA;VIM;HLA-E;HLA-A;RAC1;MAP2K3;CALR;MYD88;TRAF3;BAX;OAS3;BID;JAK3;PSMD12;PSMD7;IRF7;GADD45A;NFKB2;HLA-F;CD3D;NFKBIB;OAS2;HDAC1;PSMD8;IRAK1;MDM2;PSMC3;TRAF5;JAK1;IRF9;FAS;NFKB1;PSMC4;SIN3A;PIK3R3;CDKN1A;MAPK9;PSMC5;RELB;SEM1;TAPBP;CD3E;PDIA3;STAT2;SAP30L;MAP3K7;CHUK;PSMC1;HDAC2;E2F1;PSMD6"
"Th1 and Th2 cell differentiation",1.96406194637926,5.11223166476581e-05,0.00120307851844155,"Up",61,"MAF;RUNX3;IL4;FOS;IL2RA;IL4R;STAT5A;CD247;NFATC2;GATA3;RELA;MAML3;JAK3;NFATC3;IFNGR2;PPP3R1;CD3D;NFKBIB;JAK1;NFATC1;NFKB1;MAPK9;LAT"
"Non-alcoholic fatty liver disease",1.80599928594779,9.29714636345142e-05,0.00205118291643647,"Up",121,"FOS;TGFB1;NDUFAB1;COX7A2L;COX5A;NDUFA6;RELA;UQCRH;COX4I1;COX6C;COX6A1;NDUFB7;NDUFC2;NDUFV2;RAC1;NDUFA12;COX7A2;COX7B;PRKAG2;NDUFB9;BAX;SOCS3;UQCRB;IL1B;BID;CYC1;UQCR11;COX8A;CDC42;NDUFA2;NDUFB11;NDUFA9;NDUFB2;NDUFS4;NDUFS3;FAS;NFKB1;PIK3R3;NDUFA1;SDHB;MAPK9;UQCR10;ADIPOR1;XBP1;UQCRHL;COX6B1;NDUFB4;IRS2;NDUFS5;ATF4;COX7C;CASP7;COX5B;NDUFB3;UQCRFS1;NDUFA7;NDUFS6;NDUFB6;UQCRQ"
"Tuberculosis",1.83065179448528,0.000110879764157617,0.00230238569103758,"Up",98,"FCER1G;IL10;MALT1;CALM1;TGFB1;IL10RA;RELA;ATP6V0A4;ATP6V0C;CD74;HSPD1;MYD88;MRC2;BAX;IL1B;BID;ITGB2;CEBPG;LSP1;NFYB;RAB7A;IFNGR2;PPP3R1;CALM3;ATP6V0D1;BCL10;HSPA9;PLK3;LAMP1;RAB5A;IRAK1;JAK1;NFKB1;IL23A;MAPK9;TLR9;RAB5C;CEBPB;CORO1A;CR1;NFYC;IFNGR1;CAMK2D;CTSD"
"IgSF CAM signaling",1.71881970641986,0.000157626377974449,0.00309122841249891,"Up",147,"MBP;CRTAM;DOK2;FOXO1;LY9;ACTB;PXN;TUBA4A;RAP1A;CD48;ACTG1;MYL12A;LCP2;EPB41L2;CD244;RAP1B;PRKCA;TUBA1C;RAC1;ACTN1;ARF6;ARPC2;CD226;ICAM3;ICAM2;ACTN4;ROBO3;TUBB2A;ARPC5L;MYL12B;ITGB2;PARD6B;ACTR3C;PTPRD;ITGB1;MAP2K1;CDC42;JAM3;CASK;GRB2;PIK3R3;MAPK9;ACTR3;ARPC3;DYNLL2"
"Asthma",1.90198230629064,0.000312159425681998,0.00579959354030238,"Up",7,"IL4;FCER1G;IL10"
"Th17 cell differentiation",1.79955932226626,0.000438280197137886,0.00736728140903208,"Up",75,"IL4;FOS;IL2RA;IL4R;TGFB1;STAT5A;IL27RA;RARA;IL21R;CD247;NFATC2;GATA3;STAT3;RELA;IL1B;JAK3;NFATC3;IFNGR2;PPP3R1;CD3D;NFKBIB;JAK1;NFATC1;NFKB1;IL23A;MAPK9;LAT"
"Leishmaniasis",1.90980470323686,0.000418395839729964,0.00736728140903208,"Up",40,"IL4;FOS;IL10;NCF1;TGFB1;CYBA;RELA;MARCKSL1;MYD88;EEF1A1;IL1B;ITGB2;ELK1;IFNGR2;ITGB1;NFKBIB;IRAK1;JAK1;NFKB1"
"Allograft rejection",1.94637579254007,0.000511387868293915,0.00820545079580691,"Up",14,"IL4;IL10;HLA-C;HLA-B;HLA-E;HLA-A"
"Proteasome",1.88056919729581,0.00054918033747313,0.00837925505996343,"Up",44,"ADRM1;POMP;PSMB1;PSMB9;PSMB3;PSMA7;PSMD12;PSMD7;PSMB7;PSMD8;PSMC3;PSME2;PSMC4;PSME1;PSMC5;SEM1;PSMA4;PSMB8;PSMC1;PSMD6;PSMA3;PSME3;PSMB10;PSMB2;PSMD3;PSMA2;PSMD11"
"Inflammatory bowel disease",1.9199726549282,0.000569694395011678,0.00837925505996343,"Up",28,"MAF;IL4;IL10;IL4R;TGFB1;IL21R;GATA3;STAT3;RELA;IL1B;IFNGR2;NFATC1;NFKB1;IL23A"
"Ribosome biogenesis in eukaryotes",1.79581835450532,0.000714030056771929,0.00924433225135605,"Up",67,"GTPBP4;IMP3;UTP4;EIF6;NXT1;POP4;WDR3;NOP10;GAR1;SNU13;RRP7A;SBDS;RAN;AK6;IMP4;WDR36;UTP18;POP7;FBL;DKC1;HEATR1;GNL3L;GNL2;TBL3;RIOK1;NHP2;CSNK2B;RPP38;WDR43;MPHOSPH10;CSNK2A1;POP1;NOP58;RCL1;XRN2;TCOF1"
"Cellular senescence",1.66657232939953,0.000733261481693964,0.00924433225135605,"Up",126,"GADD45B;MYC;FOXO1;CALM1;TGFB1;HLA-C;HLA-B;NFATC2;VDAC1;RELA;HLA-E;HLA-A;MAP2K3;RRAS2;SLC25A5;PPP1CC;RAD1;VDAC2;NFATC3;PPP3R1;CALM3;SLC25A6;MAP2K1;GADD45A;HLA-F;FBXW11;RASSF5;MDM2;ZFP36L1;CAPN2;RBL1;NFATC1;ETS1;NFKB1;PIK3R3;CDKN1A"
"Shigellosis",1.60275757612267,0.000709548385435391,0.00924433225135605,"Up",181,"MALT1;FOXO1;ACTB;PXN;CD44;ACTG1;MYL12A;UBE2V2;RIPK1;VDAC1;RELA;ATG12;UBA52;RRAGC;RAC1;ACTN1;ARF6;ARPC2;UBE2D3;ACTN4;RPS27A;UBE2V1;MYD88;UBC;CCL5;UBE2D1;BAX;ARPC5L;MYL12B;RPS6KA5;IL1B;UBE2D2;HK1;SEPTIN9;RBX1;CYTH1;ACTR3C;BCL10;ITGB1;CDC42;CAST;CASP4;CASP1;MYL5;NFKBIB;FBXW11;MDM2;TRAF5;CAPN2;ELMO2;NFKB1;PIK3R3;SKP1;MAP1LC3B;MAPK9;ACTR3;ARPC3;SEPTIN7;UBB;ATG16L1;BECN1;ROCK1"
"Human cytomegalovirus infection",1.64857735006946,0.00067167201987717,0.00924433225135605,"Up",148,"MYC;TAP1;CALM1;PXN;IL10RA;TAP2;HLA-C;B2M;HLA-B;GNG5;NFATC2;RIPK1;STAT3;RELA;GNG4;PRKCA;HLA-E;HLA-A;RAC1;GNAS;CALR;CCL5;BAX;IL1B;BID;NFATC3;ELK1;GNA12;PTGER2;ADCY7;PPP3R1;GNG10;CALM3;GNB1;MAP2K1;GNG2;HLA-F;MDM2;TRAF5;PRKACA;JAK1;NFATC1;FAS;NFKB1;GRB2;PIK3R3;CDKN1A;CCL3;CCL4;TAPBP;ROCK1;RAC2;GNB2;GNA13;PDIA3;KRAS;GNAI2;CHUK;E2F1;ATF4;CREB3L3;PLCB4;CDKN2A;NRAS;RPS6KB1"
"Human immunodeficiency virus 1 infection",1.62254613767422,0.000788757679023741,0.00928104868984602,"Up",155,"FOS;TAP1;CALM1;PXN;ELOC;TAP2;HLA-C;B2M;HLA-B;CD247;GNG5;NFATC2;RIPK1;RELA;GNG4;PRKCA;HLA-E;HLA-A;RAC1;CFL1;MAP2K3;CALR;MYD88;BAX;RNF7;BID;NFATC3;ELOB;RBX1;PPP3R1;GNG10;CALM3;GNB1;MAP2K1;GNG2;HLA-F;CD3D;APOBEC3G;FBXW11;IRAK1;TRAF5;NFATC1;FAS;NFKB1;TNFRSF1B;PIK3R3;SKP1;MAPK9;SAMHD1;TAPBP;CD3E;RAC2;GNB2;PDIA3;MAP3K7;KRAS;GNAI2;CHUK"
"Pathways in cancer",1.51340665720497,0.000777549243471969,0.00928104868984602,"Up",282,"GADD45B;IL4;FOS;MYC;IL2RA;FOXO1;RALA;EPAS1;IL4R;CALM1;PIM1;TGFB1;ELOC;STAT5A;TPM3;FLT3LG;RARA;RASGRP1;GNG5;BBC3;STAT3;RELA;GNG4;FRAT2;PRKCA;GSTO1;RAC1;GNAS;PDGFA;TRAF3;BAX;RASGRP2;RPS6KA5;BID;EGLN2;JAK3;ELOB;ELK1;RBX1;GNA12;PTGER2;ADCY7;IFNGR2;GNG10;CALM3;LPAR5;GNB1;TRAF4;ITGB1;MAP2K1;CDC42;MLH1;GADD45A;GNG2;NFKB2;FH;HDAC1;RASSF5;MDM2;TRAF5;PRKACA;JAK1;ETS1;FAS;NFKB1;IL23A;BRCA2;EML4;HSP90B1;GRB2;PIK3R3;CDKN1A;SKP1;NCOA4;MAPK9;CUL2;FZD6;STK4;ROCK1;AXIN1;RAC2;MAX;GNB2;GNA13;STAT2;KRAS;GNAI2;CHUK;VHL;IFNGR1;CAMK2D;HDAC2;E2F1;CUL1;STAT4;KIF7;RASSF1;CASP7;LPAR6;STAT1;HSP90AB1;PLCB4;BCL2;MGST3;CDKN2A;NRAS;RPS6KB1"
"C-type lectin receptor signaling pathway",1.77149186087481,0.000816555611427375,0.0092981977688343,"Up",72,"FCER1G;IL10;MALT1;IRF1;CALM1;NFATC2;RELA;RRAS2;BCL3;IL1B;NFATC3;LSP1;PPP3R1;CALM3;BCL10;PLK3;NFKB2;CASP1;MDM2;NFATC1;IRF9;NFKB1;IL23A;PIK3R3;MAPK9;RELB"
"Retrograde endocannabinoid signaling",1.75661895306174,0.00101015371623662,0.0111432581822352,"Up",68,"NDUFAB1;GNG5;NDUFA6;GNG4;PRKCA;NDUFB7;NDUFC2;NDUFV2;NDUFA12;NDUFB9;ADCY7;GNG10;GNB1;GNG2;NDUFA2;NDUFB11;NDUFA9;NDUFB2;NDUFS4;NDUFS3;PRKACA;NDUFA1;MAPK9;NDUFB4;GNB2;GNAI2;NDUFS5;NDUFB3;PLCB4;NDUFA7;NDUFS6;NDUFB6;MAPK3;NDUFA11;NAPEPLD;NDUFS7"
"Mitophagy",1.6703493502465,0.00123371552720186,0.0131970176091592,"Up",87,"TFE3;OPTN;TOMM40;RELA;UBA52;RRAS2;RPS27A;UBC;TOMM7;RAB7A;USP30;BCL2L13;RAB5A;TOMM20;MAP1LC3B;MUL1;MAPK9;CCZ1;RAB5C;SMURF2;UBB;MFN2;MTX1;BECN1;CCZ1B;FUNDC1;CSNK2B;AMFR;KRAS;CITED2;E2F1;ATF4;CSNK2A1;PHB2;TOMM70;NRAS;CALCOCO2;FKBP8;RABGEF1;TBC1D15"
"Renal cell carcinoma",1.74641416309199,0.00147285984171042,0.0152917507095229,"Up",54,"EPAS1;TFE3;TGFB1;ELOC;RAP1A;RAP1B;RAPGEF1;RAC1;EGLN2;ELOB;RBX1;MAP2K1;CDC42;PRCC;FH;ETS1;GRB2;PIK3R3;CDKN1A;CUL2"
