"key","Pathway","sc_NES","sc_FDR","sc_P","sc_genes","bulk_NES","bulk_FDR","bulk_P","bulk_genes","analysis","tested_in_both","sc_significant","bulk_significant","same_direction","shared_FDR010"
"retrogradeendocannabinoidsignaling","Retrograde endocannabinoid signaling",1.61393930542018,0.0600634009837362,0.00527468960480403,70,1.93187441769246,4.69031642975877e-05,3.59590926281506e-06,100,"global25",TRUE,TRUE,TRUE,TRUE,TRUE
"transcriptionalmisregulationincancer","Transcriptional misregulation in cancer",1.5140032680716,0.0687764077910549,0.00671305771592305,108,1.63738729249474,0.0021166173814643,0.000416268085021312,137,"global25",TRUE,TRUE,TRUE,TRUE,TRUE
"osteoclastdifferentiation","Osteoclast differentiation",1.52886042581866,0.0702688199961919,0.00782332328253606,89,2.02161810300405,3.81258599088818e-06,1.30358131804545e-07,105,"global25",TRUE,TRUE,TRUE,TRUE,TRUE
"bcellreceptorsignalingpathway","B cell receptor signaling pathway",1.58539816699687,0.0702688199961919,0.00836059614685569,58,1.61006416263374,0.0141258404327544,0.00414357986027463,68,"global25",TRUE,TRUE,TRUE,TRUE,TRUE
"relaxinsignalingpathway","Relaxin signaling pathway",1.5764127993043,0.0702688199961919,0.00750811688311688,69,1.61854167112827,0.00720730972939397,0.0017537787008192,96,"global25",TRUE,TRUE,TRUE,TRUE,TRUE
"rap1signalingpathway","Rap1 signaling pathway",1.48678364451166,0.0776682846170258,0.00946100917431193,107,1.5996900962541,0.00301709407045638,0.00063358975479584,156,"global25",TRUE,TRUE,TRUE,TRUE,TRUE
"proteoglycansincancer","Proteoglycans in cancer",1.48275453077453,0.0783168655059355,0.0097618755871421,106,1.47196767904851,0.0161226148429884,0.00494426855184976,164,"global25",TRUE,TRUE,TRUE,TRUE,TRUE
"jakstatsignalingpathway","JAK-STAT signaling pathway",1.5215939330697,0.0850665083238342,0.0113261356691791,80,1.74384511767354,0.000534213720177444,8.72549076289825e-05,115,"global25",TRUE,TRUE,TRUE,TRUE,TRUE
"acutemyeloidleukemia","Acute myeloid leukemia",1.62242396547809,0.0664381259662566,0.00621092962290784,55,1.40706554622829,0.0961357308827531,0.0429225300676827,63,"global25",TRUE,TRUE,TRUE,TRUE,TRUE
"oxidativephosphorylation","Oxidative phosphorylation",2.38066145734668,1.09316869815754e-08,1.23871807156662e-10,102,2.32573962367758,1.0010207848103e-09,6.67347189873532e-12,98,"within15",TRUE,TRUE,TRUE,TRUE,TRUE
"parkinsondisease","Parkinson disease",2.22834006320543,1.36156825686376e-09,1.15714016164059e-11,199,2.0684179570893,2.08307663555114e-06,4.86051214961933e-08,104,"within15",TRUE,TRUE,TRUE,TRUE,TRUE
"huntingtondisease","Huntington disease",1.92269031494192,5.24369918432866e-06,1.18837375282236e-07,222,1.84093727250083,4.16630600922178e-05,3.0552910734293e-06,149,"within15",TRUE,TRUE,TRUE,TRUE,TRUE
"thermogenesis","Thermogenesis",1.92270578612596,4.26504203577596e-05,1.08740448504203e-06,168,1.77576585442133,4.931029881716e-05,4.10919156809667e-06,178,"within15",TRUE,TRUE,TRUE,TRUE,TRUE
"alzheimerdisease","Alzheimer disease",1.74575692402636,0.000110296621079493,4.06191522389069e-06,260,1.93359210446271,4.87192110939931e-06,1.94876844375972e-07,137,"within15",TRUE,TRUE,TRUE,TRUE,TRUE
"epsteinbarrvirusinfection","Epstein-Barr virus infection",1.838595344053,0.00031198163483956,1.23732093137503e-05,150,1.82893222116747,1.37326048464215e-05,6.40854892833002e-07,183,"within15",TRUE,TRUE,TRUE,TRUE,TRUE
"ribosome","Ribosome",2.78854566712617,2.37197016538037e-20,6.71946222487357e-23,166,1.7584512387432,0.000357681829111984,5.00754560756778e-05,128,"within15",TRUE,TRUE,TRUE,TRUE,TRUE
"th1andth2celldifferentiation","Th1 and Th2 cell differentiation",1.96406194637926,0.00120307851844155,5.11223166476581e-05,61,1.83823280331253,0.000524784815992789,8.39655705588463e-05,80,"within15",TRUE,TRUE,TRUE,TRUE,TRUE
"tuberculosis","Tuberculosis",1.83065179448528,0.00230238569103758,0.000110879764157617,98,1.95849571551782,3.81258599088818e-06,1.28001753244394e-07,142,"within15",TRUE,TRUE,TRUE,TRUE,TRUE
"asthma","Asthma",1.90198230629064,0.00579959354030238,0.000312159425681998,7,2.12780821507588,4.931029881716e-05,4.03485858656091e-06,18,"within15",TRUE,TRUE,TRUE,TRUE,TRUE
"th17celldifferentiation","Th17 cell differentiation",1.79955932226626,0.00736728140903208,0.000438280197137886,75,2.03914503766541,3.81258599088818e-06,1.397948196659e-07,96,"within15",TRUE,TRUE,TRUE,TRUE,TRUE
"leishmaniasis","Leishmaniasis",1.90980470323686,0.00736728140903208,0.000418395839729964,40,1.88249285119019,0.000589935313692321,0.000100259289398874,60,"within15",TRUE,TRUE,TRUE,TRUE,TRUE
"allograftrejection","Allograft rejection",1.94637579254007,0.00820545079580691,0.000511387868293915,14,1.96389241021414,0.000458322690682982,7.18038882070005e-05,38,"within15",TRUE,TRUE,TRUE,TRUE,TRUE
"proteasome","Proteasome",1.88056919729581,0.00837925505996343,0.00054918033747313,44,1.88731918419017,0.00107780111297412,0.000201189541088502,46,"within15",TRUE,TRUE,TRUE,TRUE,TRUE
"humancytomegalovirusinfection","Human cytomegalovirus infection",1.64857735006946,0.00924433225135605,0.00067167201987717,148,1.70161947819344,0.000212329685233275,2.40640309931045e-05,191,"within15",TRUE,TRUE,TRUE,TRUE,TRUE
"pathwaysincancer","Pathways in cancer",1.51340665720497,0.00928104868984602,0.000777549243471969,282,1.47286162211777,0.000824679575057318,0.000148442323510317,419,"within15",TRUE,TRUE,TRUE,TRUE,TRUE
"ctypelectinreceptorsignalingpathway","C-type lectin receptor signaling pathway",1.77149186087481,0.0092981977688343,0.000816555611427375,72,1.79842720924149,0.000424019775207609,6.50163655318334e-05,96,"within15",TRUE,TRUE,TRUE,TRUE,TRUE
"retrogradeendocannabinoidsignaling","Retrograde endocannabinoid signaling",1.75661895306174,0.0111432581822352,0.00101015371623662,68,1.93187441769246,4.69031642975877e-05,3.59590926281506e-06,100,"within15",TRUE,TRUE,TRUE,TRUE,TRUE
"humanimmunodeficiencyvirus1infection","Human immunodeficiency virus 1 infection",1.62254613767422,0.00928104868984602,0.000788757679023741,155,1.4666532293284,0.0145369654263699,0.00436108962791097,180,"within15",TRUE,TRUE,TRUE,TRUE,TRUE
"salmonellainfection","Salmonella infection",1.54802001708666,0.0162736981522618,0.00161353947685316,189,1.96263359227313,0.000101595939408225,1.04982470721832e-05,69,"within15",TRUE,TRUE,TRUE,TRUE,TRUE
"humantcellleukemiavirus1infection","Human T-cell leukemia virus 1 infection",1.52475234827091,0.0181100211701047,0.0020008238686518,168,1.53337420511574,0.0054214092888456,0.00124692413643449,205,"within15",TRUE,TRUE,TRUE,TRUE,TRUE
"graftversushostdisease","Graft-versus-host disease",1.850543857856,0.0181100211701047,0.00185476273998643,14,1.97606814580778,0.000330711567045533,4.44002275420348e-05,41,"within15",TRUE,TRUE,TRUE,TRUE,TRUE
"necroptosis","Necroptosis",1.64921767387979,0.019021873358151,0.00226322572533241,91,1.66510804848586,0.00295350730315682,0.000610391509319076,108,"within15",TRUE,TRUE,TRUE,TRUE,TRUE
"osteoclastdifferentiation","Osteoclast differentiation",1.65560501464074,0.019021873358151,0.00218133535660091,85,2.02161810300405,3.81258599088818e-06,1.30358131804545e-07,105,"within15",TRUE,TRUE,TRUE,TRUE,TRUE
"bcellreceptorsignalingpathway","B cell receptor signaling pathway",1.73534858205535,0.019021873358151,0.00223971542439314,55,1.61006416263374,0.0141258404327544,0.00414357986027463,68,"within15",TRUE,TRUE,TRUE,TRUE,TRUE
"cardiacmusclecontraction","Cardiac muscle contraction",1.77466640021074,0.0219218119159319,0.00267036235803137,38,1.94049707741605,0.000330711567045533,4.51972474962229e-05,54,"within15",TRUE,TRUE,TRUE,TRUE,TRUE
"rap1signalingpathway","Rap1 signaling pathway",1.58803617427695,0.024820767447961,0.00323443428500342,103,1.5996900962541,0.00301709407045638,0.00063358975479584,156,"within15",TRUE,TRUE,TRUE,TRUE,TRUE
"mitophagy","Mitophagy",1.6703493502465,0.0131970176091592,0.00123371552720186,87,1.55764616223599,0.028233910102446,0.00941130336748199,60,"within15",TRUE,TRUE,TRUE,TRUE,TRUE
"autoimmunethyroiddisease","Autoimmune thyroid disease",1.80159842687245,0.0286422646952759,0.00389469888207717,14,1.98792180900546,0.000364657150914973,5.34830488008626e-05,37,"within15",TRUE,TRUE,TRUE,TRUE,TRUE
"mapksignalingpathway","MAPK signaling pathway",1.49687172241416,0.0310191081269124,0.00430576855019464,162,1.45694927810417,0.0105193312942014,0.00301554163767107,221,"within15",TRUE,TRUE,TRUE,TRUE,TRUE
"pertussis","Pertussis",1.70200347500348,0.0330207540768701,0.00477070384679993,42,1.76037186013939,0.00433420993573742,0.000939078819409775,57,"within15",TRUE,TRUE,TRUE,TRUE,TRUE
"amoebiasis","Amoebiasis",1.70194343220815,0.0330207540768701,0.00475339648720628,41,1.67173477582383,0.00487154619246042,0.00108797864964949,75,"within15",TRUE,TRUE,TRUE,TRUE,TRUE
"kaposisarcomaassociatedherpesvirusinfection","Kaposi sarcoma-associated herpesvirus infection",1.51208850066922,0.0340510248197442,0.00501601498761105,134,1.72318127777046,0.000281223714931215,3.65590829410579e-05,160,"within15",TRUE,TRUE,TRUE,TRUE,TRUE
"proteoglycansincancer","Proteoglycans in cancer",1.56206230005209,0.0342686789158048,0.00514515575789703,101,1.47196767904851,0.0161226148429884,0.00494426855184976,164,"within15",TRUE,TRUE,TRUE,TRUE,TRUE
"intestinalimmunenetworkforigaproduction","Intestinal immune network for IgA production",1.76445346461255,0.0372804080160734,0.00591417237648756,14,1.63855800275853,0.0254014018534339,0.0082131199326103,34,"within15",TRUE,TRUE,TRUE,TRUE,TRUE
"rheumatoidarthritis","Rheumatoid arthritis",1.6953730641725,0.0372881939313663,0.00602103981328011,37,2.16204996181334,2.45335960786306e-06,6.54229228763483e-08,64,"within15",TRUE,TRUE,TRUE,TRUE,TRUE
"systemiclupuserythematosus","Systemic lupus erythematosus",1.74602700930317,0.0412279440830848,0.00700758256369713,15,1.73063741240782,0.00974230456346603,0.00259794788359094,35,"within15",TRUE,TRUE,TRUE,TRUE,TRUE
"chemokinesignalingpathway","Chemokine signaling pathway",1.52436350492872,0.0424978868145355,0.00734382746653446,106,1.85396952617406,3.83629533035768e-05,2.68540673125038e-06,142,"within15",TRUE,TRUE,TRUE,TRUE,TRUE
"naturalkillercellmediatedcytotoxicity","Natural killer cell mediated cytotoxicity",2.1074543572367,6.77681951144806e-05,2.08983516667159e-06,73,1.44859888567011,0.0489033450503151,0.018420259968952,94,"within15",TRUE,TRUE,TRUE,TRUE,TRUE
"influenzaa","Influenza A",1.54536293241128,0.0348229452140203,0.00536234579381316,107,1.41000556045624,0.0489033450503151,0.0183140437231165,133,"within15",TRUE,TRUE,TRUE,TRUE,TRUE
"tolllikereceptorsignalingpathway","Toll-like receptor signaling pathway",1.56978229657261,0.0557953715512825,0.0104319958141208,62,1.79016845962122,0.00130540357249089,0.00024802667877327,79,"within15",TRUE,TRUE,TRUE,TRUE,TRUE
"hif1signalingpathway","HIF-1 signaling pathway",1.57854636047788,0.0439358318351542,0.00784123910939013,72,1.44026452232333,0.0561009817671809,0.0220663861617578,87,"within15",TRUE,TRUE,TRUE,TRUE,TRUE
"morphineaddiction","Morphine addiction",1.65706152080544,0.0595555101650529,0.0116411620435939,28,1.57349929406946,0.0297928185330458,0.0101295583012356,51,"within15",TRUE,TRUE,TRUE,TRUE,TRUE
"viralmyocarditis","Viral myocarditis",1.63179463296023,0.0615737672968232,0.0122100954979536,34,1.78236255150218,0.00249119999896408,0.000498239999792816,55,"within15",TRUE,TRUE,TRUE,TRUE,TRUE
"cytokinecytokinereceptorinteraction","Cytokine-cytokine receptor interaction",1.53263632793373,0.0624085915947443,0.0125524362697644,72,2.30210586454845,7.49185459173828e-13,2.49728486391276e-15,165,"within15",TRUE,TRUE,TRUE,TRUE,TRUE
"viralcarcinogenesis","Viral carcinogenesis",1.43080242755488,0.065090924955939,0.0134607295234661,141,1.50499491733312,0.0105193312942014,0.0030056653548415,167,"within15",TRUE,TRUE,TRUE,TRUE,TRUE
"transcriptionalmisregulationincancer","Transcriptional misregulation in cancer",1.47411982655804,0.0672037760683789,0.0144688016464498,101,1.63738729249474,0.0021166173814643,0.000416268085021312,137,"within15",TRUE,TRUE,TRUE,TRUE,TRUE
"antigenprocessingandpresentation","Antigen processing and presentation",1.57090126510141,0.0702451252762021,0.0155215857550815,42,1.94264479659803,0.000144674331732701,1.59141764905971e-05,67,"within15",TRUE,TRUE,TRUE,TRUE,TRUE
"jakstatsignalingpathway","JAK-STAT signaling pathway",1.49990148371963,0.0702451252762021,0.0154343718979154,78,1.74384511767354,0.000534213720177444,8.72549076289825e-05,115,"within15",TRUE,TRUE,TRUE,TRUE,TRUE
"ferroptosis","Ferroptosis",1.6003484234689,0.0741991453427196,0.0172360620909434,31,1.84436355323736,0.00261129771821932,0.000530963869371262,36,"within15",TRUE,TRUE,TRUE,TRUE,TRUE
"tcellreceptorsignalingpathway","T cell receptor signaling pathway",1.49538897107165,0.0595555101650529,0.0113558583784456,102,1.391708418244,0.0795582381446867,0.0339448482750663,96,"within15",TRUE,TRUE,TRUE,TRUE,TRUE
"leukocytetransendothelialmigration","Leukocyte transendothelial migration",1.50226433215868,0.0840665354732102,0.0202426501847673,61,1.6609222174347,0.00669193631259631,0.00156145180627247,83,"within15",TRUE,TRUE,TRUE,TRUE,TRUE
"apoptosis","Apoptosis",1.4192757711137,0.0878536658070794,0.0219011971417082,108,1.91329982883187,1.56106982011824e-05,7.80534910059122e-07,127,"within15",TRUE,TRUE,TRUE,TRUE,TRUE
"focaladhesion","Focal adhesion",1.43508482133818,0.0878536658070794,0.0218627022299956,98,1.57829090790861,0.00525120409090639,0.00119027292727212,154,"within15",TRUE,TRUE,TRUE,TRUE,TRUE
