"original","reviewed","changed","reviewed_symbol_valid"
"COX7B2","COX7B2",FALSE,TRUE
"COX7C","COX7C",FALSE,TRUE
"COX8A","COX8A",FALSE,TRUE
"COX8C","COX8C",FALSE,TRUE
"COXFA4","NDUFA4",TRUE,TRUE
"COXFA4L2","NDUFA4L2",TRUE,TRUE
"CYC1","CYC1",FALSE,TRUE
"CYCS","CYCS",FALSE,TRUE
"CYTB","MT-CYB",TRUE,FALSE
"cytochrome c oxidase subunit NDUFA4-like","cytochrome c oxidase subunit NDUFA4-like",FALSE,FALSE
"DAXX","DAXX",FALSE,TRUE
"DDIT3","DDIT3",FALSE,TRUE
"DRD1","DRD1",FALSE,TRUE
"DRD2","DRD2",FALSE,TRUE
"DUSP1","DUSP1",FALSE,TRUE
"EIF2AK3","EIF2AK3",FALSE,TRUE
"EIF2S1","EIF2S1",FALSE,TRUE
"ERN1","ERN1",FALSE,TRUE
"GNAI1","GNAI1",FALSE,TRUE
"GNAI2","GNAI2",FALSE,TRUE
"GNAI3","GNAI3",FALSE,TRUE
"GNAL","GNAL",FALSE,TRUE
"GNAS","GNAS",FALSE,TRUE
"GPR37","GPR37",FALSE,TRUE
"HSPA5","HSPA5",FALSE,TRUE
"HTRA2","HTRA2",FALSE,TRUE
"ITPR1","ITPR1",FALSE,TRUE
"ITPR2","ITPR2",FALSE,TRUE
"ITPR3","ITPR3",FALSE,TRUE
"KEAP1","KEAP1",FALSE,TRUE
"KIF5A","KIF5A",FALSE,TRUE
"KIF5B","KIF5B",FALSE,TRUE
"KIF5C","KIF5C",FALSE,TRUE
"KLC1","KLC1",FALSE,TRUE
"KLC2","KLC2",FALSE,TRUE
"KLC3","KLC3",FALSE,TRUE
"KLC4","KLC4",FALSE,TRUE
"LRRK2","LRRK2",FALSE,TRUE
"MAOA","MAOA",FALSE,TRUE
"MAOB","MAOB",FALSE,TRUE
"MAP3K5","MAP3K5",FALSE,TRUE
"MAPK10","MAPK10",FALSE,TRUE
"MAPK8","MAPK8",FALSE,TRUE
"MAPK9","MAPK9",FALSE,TRUE
"MAPT","MAPT",FALSE,TRUE
"MCU","MCU",FALSE,TRUE
"MFN1","MFN1",FALSE,TRUE
"MFN2","MFN2",FALSE,TRUE
"ND1","MT-ND1",TRUE,FALSE
"ND2","MT-ND2",TRUE,FALSE
"ND3","MT-ND3",TRUE,FALSE
"ND4","MT-ND4",TRUE,FALSE
"ND4L","MT-ND4L",TRUE,FALSE
"ND5","MT-ND5",TRUE,FALSE
"ND6","MT-ND6",TRUE,FALSE
"NDUFA1","NDUFA1",FALSE,TRUE
"NDUFA10","NDUFA10",FALSE,TRUE
"NDUFA11","NDUFA11",FALSE,TRUE
"NDUFA12","NDUFA12",FALSE,TRUE
"NDUFA13","NDUFA13",FALSE,TRUE
"NDUFA2","NDUFA2",FALSE,TRUE
"NDUFA3","NDUFA3",FALSE,TRUE
"NDUFA5","NDUFA5",FALSE,TRUE
"NDUFA6","NDUFA6",FALSE,TRUE
"NDUFA7","NDUFA7",FALSE,TRUE
"NDUFA8","NDUFA8",FALSE,TRUE
"NDUFA9","NDUFA9",FALSE,TRUE
"NDUFAB1","NDUFAB1",FALSE,TRUE
"NDUFB1","NDUFB1",FALSE,TRUE
"NDUFB10","NDUFB10",FALSE,TRUE
"NDUFB11","NDUFB11",FALSE,TRUE
"NDUFB2","NDUFB2",FALSE,TRUE
"NDUFB3","NDUFB3",FALSE,TRUE
"NDUFB4","NDUFB4",FALSE,TRUE
"NDUFB5","NDUFB5",FALSE,TRUE
"NDUFB6","NDUFB6",FALSE,TRUE
"NDUFB7","NDUFB7",FALSE,TRUE
"NDUFB8","NDUFB8",FALSE,TRUE
"NDUFB9","NDUFB9",FALSE,TRUE
"NDUFC1","NDUFC1",FALSE,TRUE
"NDUFC2","NDUFC2",FALSE,TRUE
"NDUFC2-KCTD14","NDUFC2-KCTD14",FALSE,TRUE
"NDUFS1","NDUFS1",FALSE,TRUE
"NDUFS2","NDUFS2",FALSE,TRUE
"NDUFS3","NDUFS3",FALSE,TRUE
"NDUFS4","NDUFS4",FALSE,TRUE
"NDUFS5","NDUFS5",FALSE,TRUE
"NDUFS6","NDUFS6",FALSE,TRUE
"NDUFS7","NDUFS7",FALSE,TRUE
"NDUFS8","NDUFS8",FALSE,TRUE
"NDUFV1","NDUFV1",FALSE,TRUE
"NDUFV2","NDUFV2",FALSE,TRUE
"NDUFV3","NDUFV3",FALSE,TRUE
"NFE2L2","NFE2L2",FALSE,TRUE
"PARK7","PARK7",FALSE,TRUE
"PINK1","PINK1",FALSE,TRUE
"PLCG1","PLCG1",FALSE,TRUE
"PPIF","PPIF",FALSE,TRUE
"PRKACA","PRKACA",FALSE,TRUE
"PRKACB","PRKACB",FALSE,TRUE
"PRKACG","PRKACG",FALSE,TRUE
"PRKN","PRKN",FALSE,TRUE
"PSMA1","PSMA1",FALSE,TRUE
"PSMA2","PSMA2",FALSE,TRUE
"PSMA3","PSMA3",FALSE,TRUE
"PSMA4","PSMA4",FALSE,TRUE
"PSMA5","PSMA5",FALSE,TRUE
"PSMA6","PSMA6",FALSE,TRUE
"PSMA7","PSMA7",FALSE,TRUE
"PSMA8","PSMA8",FALSE,TRUE
"PSMB1","PSMB1",FALSE,TRUE
"PSMB2","PSMB2",FALSE,TRUE
"PSMB3","PSMB3",FALSE,TRUE
"PSMB4","PSMB4",FALSE,TRUE
"PSMB5","PSMB5",FALSE,TRUE
"PSMB6","PSMB6",FALSE,TRUE
"PSMB7","PSMB7",FALSE,TRUE
"PSMC1","PSMC1",FALSE,TRUE
"PSMC2","PSMC2",FALSE,TRUE
"PSMC3","PSMC3",FALSE,TRUE
"PSMC4","PSMC4",FALSE,TRUE
"PSMC5","PSMC5",FALSE,TRUE
"PSMC6","PSMC6",FALSE,TRUE
"PSMD1","PSMD1",FALSE,TRUE
"PSMD11","PSMD11",FALSE,TRUE
"PSMD12","PSMD12",FALSE,TRUE
"PSMD13","PSMD13",FALSE,TRUE
"PSMD14","PSMD14",FALSE,TRUE
"PSMD2","PSMD2",FALSE,TRUE
"PSMD3","PSMD3",FALSE,TRUE
"PSMD4","PSMD4",FALSE,TRUE
"PSMD6","PSMD6",FALSE,TRUE
"PSMD7","PSMD7",FALSE,TRUE
"PSMD8","PSMD8",FALSE,TRUE
"PSMD9","PSMD9",FALSE,TRUE
"RPS27A","RPS27A",FALSE,TRUE
"RYR3","RYR3",FALSE,TRUE
"SDHA","SDHA",FALSE,TRUE
"SDHB","SDHB",FALSE,TRUE
"SDHC","SDHC",FALSE,TRUE
"SDHD","SDHD",FALSE,TRUE
"SEM1","SEM1",FALSE,TRUE
"SEPTIN5","SEPTIN5",FALSE,TRUE
"SLC11A2","SLC11A2",FALSE,TRUE
"SLC18A1","SLC18A1",FALSE,TRUE
"SLC18A2","SLC18A2",FALSE,TRUE
"SLC25A31","SLC25A31",FALSE,TRUE
"SLC25A4","SLC25A4",FALSE,TRUE
"SLC25A5","SLC25A5",FALSE,TRUE
"SLC25A6","SLC25A6",FALSE,TRUE
"SLC39A1","SLC39A1",FALSE,TRUE
"SLC39A10","SLC39A10",FALSE,TRUE
"SLC39A11","SLC39A11",FALSE,TRUE
"SLC39A12","SLC39A12",FALSE,TRUE
"SLC39A13","SLC39A13",FALSE,TRUE
"SLC39A14","SLC39A14",FALSE,TRUE
"SLC39A2","SLC39A2",FALSE,TRUE
"SLC39A3","SLC39A3",FALSE,TRUE
"SLC39A4","SLC39A4",FALSE,TRUE
"SLC39A5","SLC39A5",FALSE,TRUE
"SLC39A6","SLC39A6",FALSE,TRUE
"SLC39A7","SLC39A7",FALSE,TRUE
"SLC39A8","SLC39A8",FALSE,TRUE
"SLC39A9","SLC39A9",FALSE,TRUE
"SLC6A3","SLC6A3",FALSE,TRUE
"SNCA","SNCA",FALSE,TRUE
"SNCAIP","SNCAIP",FALSE,TRUE
"SOD1","SOD1",FALSE,TRUE
"TH","TH",FALSE,TRUE
"TP53","TP53",FALSE,TRUE
"TRAP1","TRAP1",FALSE,TRUE
"TUBA1A","TUBA1A",FALSE,TRUE
"TUBA1B","TUBA1B",FALSE,TRUE
"TUBA1C","TUBA1C",FALSE,TRUE
"TUBA3C","TUBA3C",FALSE,TRUE
"TUBA3D","TUBA3D",FALSE,TRUE
"TUBA3E","TUBA3E",FALSE,TRUE
"TUBA4A","TUBA4A",FALSE,TRUE
"TUBA8","TUBA8",FALSE,TRUE
"TUBAL3","TUBAL3",FALSE,TRUE
"TUBB","TUBB",FALSE,TRUE
"TUBB1","TUBB1",FALSE,TRUE
"TUBB2A","TUBB2A",FALSE,TRUE
"TUBB2B","TUBB2B",FALSE,TRUE
"TUBB3","TUBB3",FALSE,TRUE
"TUBB4A","TUBB4A",FALSE,TRUE
"TUBB4B","TUBB4B",FALSE,TRUE
"TUBB6","TUBB6",FALSE,TRUE
"TUBB8","TUBB8",FALSE,TRUE
"TUBB8B","TUBB8B",FALSE,TRUE
"TXN","TXN",FALSE,TRUE
"TXN2","TXN2",FALSE,TRUE
"UBA1","UBA1",FALSE,TRUE
"UBA52","UBA52",FALSE,TRUE
"UBA7","UBA7",FALSE,TRUE
"UBB","UBB",FALSE,TRUE
"UBC","UBC",FALSE,TRUE
"UBE2G1","UBE2G1",FALSE,TRUE
"UBE2G2","UBE2G2",FALSE,TRUE
"UBE2J1","UBE2J1",FALSE,TRUE
"UBE2J2","UBE2J2",FALSE,TRUE
"UBE2L3","UBE2L3",FALSE,TRUE
"UBE2L6","UBE2L6",FALSE,TRUE
"UCHL1","UCHL1",FALSE,TRUE
"UQCR10","UQCR10",FALSE,TRUE
"UQCR11","UQCR11",FALSE,TRUE
"UQCRB","UQCRB",FALSE,TRUE
"UQCRC1","UQCRC1",FALSE,TRUE
"UQCRC2","UQCRC2",FALSE,TRUE
"UQCRFS1","UQCRFS1",FALSE,TRUE
"UQCRH","UQCRH",FALSE,TRUE
"UQCRHL","UQCRHL",FALSE,TRUE
"UQCRQ","UQCRQ",FALSE,TRUE
"VDAC1","VDAC1",FALSE,TRUE
"VDAC2","VDAC2",FALSE,TRUE
"VDAC3","VDAC3",FALSE,TRUE
"XBP1","XBP1",FALSE,TRUE
"40S ribosomal protein S8-like","40S ribosomal protein S8-like",FALSE,FALSE
"5S ribosomal RNA","5S ribosomal RNA",FALSE,FALSE
"AURKAIP1","AURKAIP1",FALSE,TRUE
"CHCHD1","CHCHD1",FALSE,TRUE
"DAP3","DAP3",FALSE,TRUE
"FAU","FAU",FALSE,TRUE
"GADD45GIP1","GADD45GIP1",FALSE,TRUE
"KGD4","KGD4",FALSE,TRUE
"MRPL1","MRPL1",FALSE,TRUE
"MRPL10","MRPL10",FALSE,TRUE
"MRPL11","MRPL11",FALSE,TRUE
"MRPL12","MRPL12",FALSE,TRUE
"MRPL13","MRPL13",FALSE,TRUE
"MRPL14","MRPL14",FALSE,TRUE
"MRPL15","MRPL15",FALSE,TRUE
"MRPL16","MRPL16",FALSE,TRUE
"MRPL17","MRPL17",FALSE,TRUE
"MRPL18","MRPL18",FALSE,TRUE
"MRPL19","MRPL19",FALSE,TRUE
"MRPL2","MRPL2",FALSE,TRUE
"MRPL20","MRPL20",FALSE,TRUE
"MRPL21","MRPL21",FALSE,TRUE
"MRPL22","MRPL22",FALSE,TRUE
"MRPL23","MRPL23",FALSE,TRUE
"MRPL24","MRPL24",FALSE,TRUE
"MRPL27","MRPL27",FALSE,TRUE
"MRPL28","MRPL28",FALSE,TRUE
"MRPL3","MRPL3",FALSE,TRUE
"MRPL30","MRPL30",FALSE,TRUE
"MRPL32","MRPL32",FALSE,TRUE
"MRPL33","MRPL33",FALSE,TRUE
"MRPL34","MRPL34",FALSE,TRUE
"MRPL35","MRPL35",FALSE,TRUE
"MRPL36","MRPL36",FALSE,TRUE
"MRPL37","MRPL37",FALSE,TRUE
"MRPL38","MRPL38",FALSE,TRUE
"MRPL39","MRPL39",FALSE,TRUE
"MRPL4","MRPL4",FALSE,TRUE
"MRPL40","MRPL40",FALSE,TRUE
"MRPL41","MRPL41",FALSE,TRUE
"MRPL42","MRPL42",FALSE,TRUE
"MRPL43","MRPL43",FALSE,TRUE
"MRPL44","MRPL44",FALSE,TRUE
"MRPL45","MRPL45",FALSE,TRUE
"MRPL46","MRPL46",FALSE,TRUE
"MRPL47","MRPL47",FALSE,TRUE
"MRPL48","MRPL48",FALSE,TRUE
"MRPL49","MRPL49",FALSE,TRUE
"MRPL50","MRPL50",FALSE,TRUE
"MRPL51","MRPL51",FALSE,TRUE
"MRPL52","MRPL52",FALSE,TRUE
"MRPL53","MRPL53",FALSE,TRUE
"MRPL54","MRPL54",FALSE,TRUE
"MRPL55","MRPL55",FALSE,TRUE
"MRPL57","MRPL57",FALSE,TRUE
"MRPL58","MRPL58",FALSE,TRUE
"MRPL9","MRPL9",FALSE,TRUE
"MRPS10","MRPS10",FALSE,TRUE
"MRPS11","MRPS11",FALSE,TRUE
"MRPS12","MRPS12",FALSE,TRUE
"MRPS14","MRPS14",FALSE,TRUE
"MRPS15","MRPS15",FALSE,TRUE
"MRPS16","MRPS16",FALSE,TRUE
"MRPS17","MRPS17",FALSE,TRUE
"MRPS18A","MRPS18A",FALSE,TRUE
"MRPS18B","MRPS18B",FALSE,TRUE
"MRPS18C","MRPS18C",FALSE,TRUE
"MRPS2","MRPS2",FALSE,TRUE
"MRPS21","MRPS21",FALSE,TRUE
"MRPS22","MRPS22",FALSE,TRUE
"MRPS23","MRPS23",FALSE,TRUE
"MRPS24","MRPS24",FALSE,TRUE
"MRPS25","MRPS25",FALSE,TRUE
"MRPS26","MRPS26",FALSE,TRUE
"MRPS27","MRPS27",FALSE,TRUE
"MRPS28","MRPS28",FALSE,TRUE
"MRPS30","MRPS30",FALSE,TRUE
"MRPS31","MRPS31",FALSE,TRUE
"MRPS33","MRPS33",FALSE,TRUE
"MRPS34","MRPS34",FALSE,TRUE
"MRPS35","MRPS35",FALSE,TRUE
"MRPS5","MRPS5",FALSE,TRUE
"MRPS6","MRPS6",FALSE,TRUE
"MRPS7","MRPS7",FALSE,TRUE
"MRPS9","MRPS9",FALSE,TRUE
"PTCD3","PTCD3",FALSE,TRUE
"RACK1","RACK1",FALSE,TRUE
"RNA18SN1","RNA18SN1",FALSE,TRUE
"RNA18SN2","RNA18SN2",FALSE,TRUE
"RNA18SN3","RNA18SN3",FALSE,TRUE
"RNA18SN4","RNA18SN4",FALSE,TRUE
"RNA18SN5","RNA18SN5",FALSE,TRUE
"RNA28SN1","RNA28SN1",FALSE,TRUE
"RNA28SN2","RNA28SN2",FALSE,TRUE
"RNA28SN3","RNA28SN3",FALSE,TRUE
"RNA28SN4","RNA28SN4",FALSE,TRUE
"RNA28SN5","RNA28SN5",FALSE,TRUE
"RNA5-8SN1","RNA5-8SN1",FALSE,TRUE
"RNA5-8SN2","RNA5-8SN2",FALSE,TRUE
"RNA5-8SN3","RNA5-8SN3",FALSE,TRUE
"RNA5-8SN4","RNA5-8SN4",FALSE,TRUE
"RNA5-8SN5","RNA5-8SN5",FALSE,TRUE
"RNA5S1","RNA5S1",FALSE,TRUE
"RNA5S10","RNA5S10",FALSE,TRUE
"RNA5S11","RNA5S11",FALSE,TRUE
"RNA5S12","RNA5S12",FALSE,TRUE
"RNA5S13","RNA5S13",FALSE,TRUE
"RNA5S14","RNA5S14",FALSE,TRUE
"RNA5S15","RNA5S15",FALSE,TRUE
"RNA5S16","RNA5S16",FALSE,TRUE
"RNA5S17","RNA5S17",FALSE,TRUE
"RNA5S2","RNA5S2",FALSE,TRUE
"RNA5S3","RNA5S3",FALSE,TRUE
"RNA5S4","RNA5S4",FALSE,TRUE
"RNA5S5","RNA5S5",FALSE,TRUE
"RNA5S6","RNA5S6",FALSE,TRUE
"RNA5S7","RNA5S7",FALSE,TRUE
"RNA5S8","RNA5S8",FALSE,TRUE
"RNA5S9","RNA5S9",FALSE,TRUE
"RNR1","RNR1",FALSE,TRUE
"RNR2","RNR2",FALSE,TRUE
"RPL10","RPL10",FALSE,TRUE
"RPL10A","RPL10A",FALSE,TRUE
"RPL10L","RPL10L",FALSE,TRUE
"RPL11","RPL11",FALSE,TRUE
"RPL12","RPL12",FALSE,TRUE
"RPL13","RPL13",FALSE,TRUE
"RPL13A","RPL13A",FALSE,TRUE
"RPL14","RPL14",FALSE,TRUE
"RPL15","RPL15",FALSE,TRUE
"RPL17","RPL17",FALSE,TRUE
"RPL17-C18orf32","RPL17-C18orf32",FALSE,TRUE
"RPL18","RPL18",FALSE,TRUE
"RPL18A","RPL18A",FALSE,TRUE
"RPL19","RPL19",FALSE,TRUE
"RPL21","RPL21",FALSE,TRUE
"RPL22","RPL22",FALSE,TRUE
"RPL22L1","RPL22L1",FALSE,TRUE
"RPL23","RPL23",FALSE,TRUE
"RPL23A","RPL23A",FALSE,TRUE
"RPL24","RPL24",FALSE,TRUE
"RPL26","RPL26",FALSE,TRUE
"RPL26L1","RPL26L1",FALSE,TRUE
"RPL27","RPL27",FALSE,TRUE
"RPL27A","RPL27A",FALSE,TRUE
"RPL28","RPL28",FALSE,TRUE
"RPL29","RPL29",FALSE,TRUE
"RPL3","RPL3",FALSE,TRUE
"RPL30","RPL30",FALSE,TRUE
"RPL31","RPL31",FALSE,TRUE
"RPL32","RPL32",FALSE,TRUE
"RPL34","RPL34",FALSE,TRUE
"RPL35","RPL35",FALSE,TRUE
"RPL35A","RPL35A",FALSE,TRUE
"RPL36","RPL36",FALSE,TRUE
"RPL36A","RPL36A",FALSE,TRUE
"RPL36A-HNRNPH2","RPL36A-HNRNPH2",FALSE,TRUE
"RPL36AL","RPL36AL",FALSE,TRUE
"RPL37","RPL37",FALSE,TRUE
"RPL37A","RPL37A",FALSE,TRUE
"RPL38","RPL38",FALSE,TRUE
"RPL39","RPL39",FALSE,TRUE
"RPL39L","RPL39L",FALSE,TRUE
"RPL3L","RPL3L",FALSE,TRUE
"RPL4","RPL4",FALSE,TRUE
"RPL41","RPL41",FALSE,TRUE
"RPL5","RPL5",FALSE,TRUE
"RPL6","RPL6",FALSE,TRUE
"RPL7","RPL7",FALSE,TRUE
"RPL7A","RPL7A",FALSE,TRUE
"RPL8","RPL8",FALSE,TRUE
"RPL9","RPL9",FALSE,TRUE
"RPLP0","RPLP0",FALSE,TRUE
"RPLP1","RPLP1",FALSE,TRUE
"RPLP2","RPLP2",FALSE,TRUE
"RPS10","RPS10",FALSE,TRUE
"RPS10-NUDT3","RPS10-NUDT3",FALSE,TRUE
"RPS11","RPS11",FALSE,TRUE
"RPS12","RPS12",FALSE,TRUE
"RPS13","RPS13",FALSE,TRUE
"RPS14","RPS14",FALSE,TRUE
"RPS15","RPS15",FALSE,TRUE
"RPS15A","RPS15A",FALSE,TRUE
"RPS16","RPS16",FALSE,TRUE
"RPS17","RPS17",FALSE,TRUE
"RPS18","RPS18",FALSE,TRUE
"RPS19","RPS19",FALSE,TRUE
"RPS2","RPS2",FALSE,TRUE
"RPS20","RPS20",FALSE,TRUE
"RPS21","RPS21",FALSE,TRUE
"RPS23","RPS23",FALSE,TRUE
"RPS24","RPS24",FALSE,TRUE
"RPS25","RPS25",FALSE,TRUE
"RPS26","RPS26",FALSE,TRUE
"RPS27","RPS27",FALSE,TRUE
"RPS27L","RPS27L",FALSE,TRUE
"RPS28","RPS28",FALSE,TRUE
"RPS29","RPS29",FALSE,TRUE
"RPS3","RPS3",FALSE,TRUE
"RPS3A","RPS3A",FALSE,TRUE
"RPS4X","RPS4X",FALSE,TRUE
"RPS4Y1","RPS4Y1",FALSE,TRUE
"RPS4Y2","RPS4Y2",FALSE,TRUE
"RPS5","RPS5",FALSE,TRUE
"RPS6","RPS6",FALSE,TRUE
"RPS7","RPS7",FALSE,TRUE
"RPS8","RPS8",FALSE,TRUE
"RPS9","RPS9",FALSE,TRUE
"RPSA","RPSA",FALSE,TRUE
"RPSA2","RPSA2",FALSE,TRUE
"RSL24D1","RSL24D1",FALSE,TRUE
"AFG2A","AFG2A",FALSE,TRUE
"AK6","AK6",FALSE,TRUE
"BMS1","BMS1",FALSE,TRUE
"CSNK2A1","CSNK2A1",FALSE,TRUE
"CSNK2A2","CSNK2A2",FALSE,TRUE
"CSNK2A3","CSNK2A3",FALSE,TRUE
"CSNK2B","CSNK2B",FALSE,TRUE
"DKC1","DKC1",FALSE,TRUE
"DROSHA","DROSHA",FALSE,TRUE
"EFL1","EFL1",FALSE,TRUE
"EIF6","EIF6",FALSE,TRUE
"EMG1","EMG1",FALSE,TRUE
"FBL","FBL",FALSE,TRUE
"FBLL1","FBLL1",FALSE,TRUE
"FCF1","FCF1",FALSE,TRUE
"GAR1","GAR1",FALSE,TRUE
"GNL2","GNL2",FALSE,TRUE
"GNL3","GNL3",FALSE,TRUE
"GNL3L","GNL3L",FALSE,TRUE
"GTPBP4","GTPBP4",FALSE,TRUE
"HEATR1","HEATR1",FALSE,TRUE
"IMP3","IMP3",FALSE,TRUE
"IMP4","IMP4",FALSE,TRUE
"LSG1","LSG1",FALSE,TRUE
"MDN1","MDN1",FALSE,TRUE
"MPHOSPH10","MPHOSPH10",FALSE,TRUE
"NAT10","NAT10",FALSE,TRUE
"NHP2","NHP2",FALSE,TRUE
"NMD3","NMD3",FALSE,TRUE
"NOB1","NOB1",FALSE,TRUE
"NOL6","NOL6",FALSE,TRUE
"NOP10","NOP10",FALSE,TRUE
"NOP56","NOP56",FALSE,TRUE
"NOP58","NOP58",FALSE,TRUE
"NVL","NVL",FALSE,TRUE
"NXF1","NXF1",FALSE,TRUE
"NXF2","NXF2",FALSE,TRUE
"NXF2B","NXF2B",FALSE,TRUE
"NXF3","NXF3",FALSE,TRUE
"NXT1","NXT1",FALSE,TRUE
"NXT2","NXT2",FALSE,TRUE
"periodic tryptophan protein 2 homolog","periodic tryptophan protein 2 homolog",FALSE,FALSE
"POP1","POP1",FALSE,TRUE
"POP4","POP4",FALSE,TRUE
"POP5","POP5",FALSE,TRUE
"POP7","POP7",FALSE,TRUE
"putative exonuclease GOR","putative exonuclease GOR",FALSE,FALSE
"PWP2","PWP2",FALSE,TRUE
"RAN","RAN",FALSE,TRUE
"RBM28","RBM28",FALSE,TRUE
"RCL1","RCL1",FALSE,TRUE
"REXO1","REXO1",FALSE,TRUE
"REXO2","REXO2",FALSE,TRUE
"REXO5","REXO5",FALSE,TRUE
"RIOK1","RIOK1",FALSE,TRUE
"RIOK2","RIOK2",FALSE,TRUE
"RMRP","RMRP",FALSE,TRUE
"RPP25","RPP25",FALSE,TRUE
"RPP25L","RPP25L",FALSE,TRUE
"RPP30","RPP30",FALSE,TRUE
"RPP38","RPP38",FALSE,TRUE
"RPP40","RPP40",FALSE,TRUE
"RRP7A","RRP7A",FALSE,TRUE
"SBDS","SBDS",FALSE,TRUE
"small nucleolar RNA U3","small nucleolar RNA U3",FALSE,FALSE
"SNORD3A","SNORD3A",FALSE,TRUE
"SNORD3B-1","SNORD3B-1",FALSE,TRUE
"SNORD3B-2","SNORD3B-2",FALSE,TRUE
"SNORD3C","SNORD3C",FALSE,TRUE
"SNORD3D","SNORD3D",FALSE,TRUE
"SNORD3E","SNORD3E",FALSE,TRUE
"SNORD3F","SNORD3F",FALSE,TRUE
"SNORD3G","SNORD3G",FALSE,TRUE
"SNORD3H","SNORD3H",FALSE,TRUE
"SNORD3I","SNORD3I",FALSE,TRUE
"SNORD3J","SNORD3J",FALSE,TRUE
"SNORD3K","SNORD3K",FALSE,TRUE
"SNU13","SNU13",FALSE,TRUE
"TBL3","TBL3",FALSE,TRUE
"TCOF1","TCOF1",FALSE,TRUE
"UTP14A","UTP14A",FALSE,TRUE
"UTP14C","UTP14C",FALSE,TRUE
"UTP15","UTP15",FALSE,TRUE
"UTP18","UTP18",FALSE,TRUE
"UTP4","UTP4",FALSE,TRUE
"UTP6","UTP6",FALSE,TRUE
"WDR3","WDR3",FALSE,TRUE
"WDR36","WDR36",FALSE,TRUE
"WDR43","WDR43",FALSE,TRUE
"WDR75","WDR75",FALSE,TRUE
"XPO1","XPO1",FALSE,TRUE
"XRN1","XRN1",FALSE,TRUE
"XRN2","XRN2",FALSE,TRUE
"ATP synthase subunit f","ATP synthase subunit f",FALSE,FALSE
"ATP12A","ATP12A",FALSE,TRUE
"ATP4A","ATP4A",FALSE,TRUE
"ATP4B","ATP4B",FALSE,TRUE
"ATP5ME","ATP5ME",FALSE,TRUE
"ATP5MF","ATP5MF",FALSE,TRUE
"ATP5MG","ATP5MG",FALSE,TRUE
"ATP5MGL","ATP5MGL",FALSE,TRUE
"ATP6AP1","ATP6AP1",FALSE,TRUE
"ATP6V0A1","ATP6V0A1",FALSE,TRUE
"ATP6V0A2","ATP6V0A2",FALSE,TRUE
"ATP6V0A4","ATP6V0A4",FALSE,TRUE
"ATP6V0B","ATP6V0B",FALSE,TRUE
"ATP6V0C","ATP6V0C",FALSE,TRUE
"ATP6V0D1","ATP6V0D1",FALSE,TRUE
"ATP6V0D2","ATP6V0D2",FALSE,TRUE
"ATP6V0E1","ATP6V0E1",FALSE,TRUE
"ATP6V0E2","ATP6V0E2",FALSE,TRUE
"ATP6V1A","ATP6V1A",FALSE,TRUE
"ATP6V1B1","ATP6V1B1",FALSE,TRUE
"ATP6V1B2","ATP6V1B2",FALSE,TRUE
"ATP6V1C1","ATP6V1C1",FALSE,TRUE
